box-id,length,width,height
C0000001H,15,8.5,7.5
C0000001W,15,8.5,7.5
C0000006H,29,16,14.5
C0000007H,25.5,19,17
C0000007W,25.5,19,17
C0000008H,27,20,19.5
C0000009H,36.7,26.7,20.9
C0000009W,36.7,26.7,20.9
C0000010H,41.5,31.5,30
C0000011W,29,28.7,11.4
COM00001H,55,38.5,34
COM00001L,55,38.5,34
COM00002L,40,30.6,50.6
LOREAL01G,18,12,8
LOREAL01H,18,12,8
LOREAL01L,18,12,8
LOREAL01R,18,12,8
LOREAL01S,18,12,8
LOREAL01X,18,12,8
LOREAL02G,23,14,10
LOREAL02H,23,14,10
LOREAL02L,23,14,8
LOREAL02S,23,14,10
LOREAL02X,23,14,10
LOREAL03G,26,20,12
LOREAL03H,26,20,12
LOREAL03L,26,20,12
LOREAL03S,26,20,12
LOREAL03X,26,20,12
LOREAL04G,27,18,20
LOREAL04H,27,18,20
LOREAL04L,27,18,20
LOREAL04S,27,18,20
LOREAL04X,27,18,20
LOREAL05G,31,26,17
LOREAL05L,31,26,17
LOREAL06G,36,29,22
LOREAL06H,36,29,22
LOREAL06L,36,29,22
LOREAL06R,36,29,22
LOREAL06S,36,29,22
LOREAL06X,36,29,22
LOREAL08L,36,29,28
LOREAL09H,32,25.5,19
LOREAL09L,32,25.5,19
LOREAL09S,32,25.5,19
LOREAL09X,32,25.5,19
LOREAL10L,26,20,12
LOREAL14L,0,0,0
LOREAL15L,0,0,0
LOREAL16L,0,0,0
LOREAL17H,19,13,16
LOREAL17L,19,13,16
LOREAL17X,19,13,16
LOREAL18H,38,28.5,14.5
LOREAL18L,38,28.5,14.5
LOREAL18X,38,28.5,14.5
LRLC0003W,21,12,11.5
LRLC0010H,42.7,32.5,32.8
LRLF0005L,0.32,0.255,0.135
LRLZ0001L,0.18,0.12,0.08
LRLZ0002H,0.23,0.12,0.11
LRLZ0002L,0.23,0.12,0.11
LRLZ0003H,0.27,0.205,0.13
LRLZ0003L,0.27,0.205,0.13
LRLZ0004L,0.27,0.18,0.2
LRLZ0005L,0.32,0.255,0.135
LRLZ0006H,0.36,0.29,0.22
LRLZ0006L,0.36,0.29,0.22
