box-id,length,width,height
"C0000001H",1500,850,750
"C0000001W",1500,850,750
"C0000006H",2900,1600,1450
"C0000007H",2550,1900,1700
"C0000007W",2550,1900,1700
"C0000008H",2700,2000,1950
"C0000009H",3670,2670,2090
"C0000009W",3670,2670,2090
"C0000010H",4150,3150,3000
"C0000011W",2900,2870,1140
"COM00001H",5500,3850,3400
"COM00001L",5500,3850,3400
"COM00002L",4000,3060,5060
"LOREAL01G",1800,1200,800
"LOREAL01H",1800,1200,800
"LOREAL01L",1800,1200,800
"LOREAL01R",1800,1200,800
"LOREAL01S",1800,1200,800
"LOREAL01X",1800,1200,800
"LOREAL02G",2300,1400,1000
"LOREAL02H",2300,1400,1000
"LOREAL02L",2300,1400,800
"LOREAL02S",2300,1400,1000
"LOREAL02X",2300,1400,1000
"LOREAL03G",2600,2000,1200
"LOREAL03H",2600,2000,1200
"LOREAL03L",2600,2000,1200
"LOREAL03S",2600,2000,1200
"LOREAL03X",2600,2000,1200
"LOREAL04G",2700,1800,2000
"LOREAL04H",2700,1800,2000
"LOREAL04L",2700,1800,2000
"LOREAL04S",2700,1800,2000
"LOREAL04X",2700,1800,2000
"LOREAL05G",3100,2600,1700
"LOREAL05L",3100,2600,1700
"LOREAL06G",3600,2900,2200
"LOREAL06H",3600,2900,2200
"LOREAL06L",3600,2900,2200
"LOREAL06R",3600,2900,2200
"LOREAL06S",3600,2900,2200
"LOREAL06X",3600,2900,2200
"LOREAL08L",3600,2900,2800
"LOREAL09H",3200,2550,1900
"LOREAL09L",3200,2550,1900
"LOREAL09S",3200,2550,1900
"LOREAL09X",3200,2550,1900
"LOREAL10L",2600,2000,1200
"LOREAL17H",1900,1300,1600
"LOREAL17L",1900,1300,1600
"LOREAL17X",1900,1300,1600
"LOREAL18H",3800,2850,1450
"LOREAL18L",3800,2850,1450
"LOREAL18X",3800,2850,1450
"LRLC0003W",2100,1200,1150
"LRLC0010H",4270,3250,3280
"LRLF0005L",3200,2550,1350
"LRLZ0001L",1800,1200,800
"LRLZ0002H",2300,1200,1100
"LRLZ0002L",2300,1200,1100
"LRLZ0003H",2700,2050,1300
"LRLZ0003L",2700,2050,1300
"LRLZ0004L",2700,1800,2000
"LRLZ0005L",3200,2550,1350
"LRLZ0006H",3600,2900,2200
"LRLZ0006L",3600,2900,2200
