orderId,actualBoxId,actualUtilization,algorithmBoxId,algorithmUtilization,status
"TSHD2026030700085616","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHE2026030500013004","C0000011W",0.7340417908,"LOREAL05G",0.5083017078,"OK"
"TSHD2026030100009394","LOREAL01H",0.3384062500,"LOREAL01G",0.3384062500,"OK"
"TSHE2026030500027374","LOREAL04H",0.5408055556,"C0000007H",0.6382116190,"OK"
"TSHD2026030300058138","LOREAL03H",0.2458069175,"LOREAL02L",0.5954329057,"OK"
"TSHE2026030500191504","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030700160548","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHE2026030500250034","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030500136951","C0000009W",0.3081067053,"C0000011W",0.6650281296,"OK"
"TSHD2026022500026489","LRLC0003W",0.2950621118,"LOREAL01G",0.4948437500,"OK"
"TSHD2026030900083880","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHD2026030200049348","LRLC0003W",0.4377225673,"LOREAL02L",0.4924378882,"OK"
"TSHE2026030200011755","C0000009W",0.3551121181,"LOREAL04G",0.7482088477,"OK"
"TSHD2026030300027669","C0000011W",0.5335563467,"C0000011W",0.5335563467,"OK"
"TSHE2026030900141402","LRLC0003W",0.1083933851,"LOREAL01G",0.1817847396,"OK"
"TSHE2026030500138519","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026022800089520","LOREAL03H",0.1930043077,"LOREAL03G",0.1930043077,"OK"
"TSHE2026030600069351","C0000011W",0.0759137541,"LOREAL01G",0.4168324074,"OK"
"TSHD2026030900085025","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHD2026022500026486","LRLC0003W",0.1549232229,"LOREAL01G",0.2598191551,"OK"
"TSHD2026030600102900","LOREAL04H",0.2898969907,"C0000006H",0.4188166989,"OK"
"TSHD2026030900040082","LOREAL01H",0.3255635127,"C0000001H",0.5883124183,"OK"
"TSHD2026030700019839","LRLC0003W",0.3806349206,"LOREAL02L",0.4282142857,"OK"
"TSHE2026031000045789","LOREAL01H",0.0633368056,"C0000001H",0.1144533333,"OK"
"TSHE2026030700168676","C0000011W",0.4088579312,"LOREAL03G",0.6216881410,"OK"
"TSHE2026031000026788","LRLC0003W",0.3048474810,"LOREAL01G",0.5112546296,"OK"
"TSHE2026030200057597","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030400050307","LOREAL04H",0.4566453333,"C0000006H",0.6597194768,"OK"
