item-id,length,width,height,attribute
"25295310T",700,700,1300,"product"
"25295310",700,700,1300,"product"
"25295510",50,50,1280,"product"
"25295810",70,70,1280,"product"
"25296110",700,700,1650,"product"
"25295910",80,80,1290,"product"
"25296110T",700,700,1300,"product"
"25296210",100,100,1620,"product"
"25302610",300,180,850,"product"
"25302510",290,200,950,"product"
"25325110",1150,550,550,"product"
"25912610",700,700,610,"product"
"25933410",570,460,1000,"product"
"25934210",700,630,710,"product"
"25934710P",520,330,1080,"product"
"25934710T",530,330,1070,"product"
"25934710",530,330,1080,"product"
"25934210T",700,630,710,"product"
"25950310",1240,180,1520,"product"
"25964310",560,320,1550,"product"
"25991410",500,300,1200,"product"
"35904410",570,300,1550,"product"
"35909010",610,280,1600,"product"
"45904310",600,350,1600,"product"
"55104410",1000,620,1640,"product"
"55106010",1000,620,1640,"product"
"6180101001",510,320,1550,"product"
"6180102001",610,350,1600,"product"
"6180103001",650,350,1550,"product"
"6210101101",700,700,600,"product"
"6211302105R",700,700,700,"product"
"6211302105",690,680,600,"product"
"6212702102",700,700,600,"product"
"6212001103T",820,820,590,"product"
"6212001103",830,830,620,"product"
"6213701103",700,700,600,"product"
"6213702102",700,700,600,"product"
"6213901101",490,490,1145,"product"
"6213902101",540,510,1130,"product"
"6214002101",570,340,1600,"product"
"6220101001",480,480,1640,"product"
"6214001101",500,500,1160,"product"
"6220201101",410,410,1630,"product"
"6220201001",723,341,1204,"product"
"6220102101",500,400,1630,"product"
"6220401002",450,400,1400,"product"
"6220501001",500,500,1450,"product"
"6220601001",650,450,1750,"product"
"6220701001",500,500,1450,"product"
"6220701003",460,460,1370,"product"
"6221001001",500,500,1600,"product"
"6221001001P",510,510,1650,"product"
"6221002001",500,500,1430,"product"
"6220901001",500,250,1100,"product"
"6221005001",450,400,1650,"product"
"6221007001",450,400,1010,"product"
"6222001006",500,400,1630,"product"
"6222603001",850,340,1780,"product"
"6223601105",500,300,1200,"product"
"6223701105",500,300,1230,"product"
"6223701105T",500,300,1200,"product"
"6225201103",500,500,1900,"product"
"6223601105T",500,300,1200,"product"
"6226802101",550,320,1200,"product"
"6226602103",420,420,1290,"product"
"6226401101",400,400,1200,"product"
"6229101003",500,300,1200,"product"
"6230102001",340,340,1600,"product"
